ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"170.130.55.153","elite","AS62904","US","Eonix Corporation","184","servinga GmbH","5001","socks5","433","2","2024-05-31T13:41:19.301Z","100","7099","7118"
"197.234.13.24","elite","AS36902","SC","Intelvision","169","Intelvision Ltd","4145","socks4","78","1","2024-05-31T13:41:19.089Z","99","7129","7168"
"78.186.111.34","elite","AS9121","TR","TurkTelecom","139","N/A","1080","socks4","75","1","2024-05-31T13:41:19.499Z","96","6853","7169"
"182.253.166.170","elite","AS17451","ID","BIZNET","390","N/A","5678","socks4","989","1","2024-05-31T13:41:19.001Z","97","7028","7253"
"47.52.240.190","elite","AS45102","HK","Alibaba Cloud LLC","313","ALICLOUD-HK","808","socks4","1033","1","2024-05-31T13:41:19.494Z","99","7035","7077"
"54.38.242.224","elite","AS16276","FR","OVH SAS","7","OVH","31143","socks5","70","1","2024-05-31T13:41:19.304Z","88","6370","7228"
"109.236.84.101","elite","AS49981","NL","WorldStream B.V.","91","Worldstream","30090","socks5","70","1","2024-05-31T13:41:19.399Z","100","7076","7082"
"143.202.226.31","elite","AS262346","BR","FP Telecomunicacoes Ltda","231","FP Telecomunicacoes Ltda","4145","socks4","68","1","2024-05-31T13:41:19.498Z","83","6003","7197"
"94.26.108.67","elite","AS204281","BG","NetX","46","N/A","2580","socks4","5206","1","2024-05-31T13:41:19.302Z","94","6770","7231"
"161.97.173.78","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","1705","socks4","830","81","2024-05-31T13:41:19.495Z","100","399","399"
"178.128.148.69","elite","AS14061","US","DigitalOcean, LLC","82","Digitalocean","3128","socks4","2997","2","2024-05-31T13:41:19.305Z","100","7126","7142"
"186.226.171.94","elite","AS53180","BR","Infortel Comunicacoes Ltda","274","Infortel Comunicacoes Ltda","1080","socks4","2994","1","2024-05-31T13:41:19.392Z","99","7093","7191"
"37.27.29.181","elite","AS24940","FI","Hetzner Online GmbH","39","Hetzner Online GmbH","80","http","560","20900","2024-05-31T13:41:19.005Z","100","35","35"
"166.0.235.139","elite","AS395111","US","Ace Data Centers","104","Ipxo LLC","1081","socks4","868","1","2024-05-31T13:41:19.496Z","100","407","407"
"102.64.116.100","elite","AS328500","CG","A.M.C Telecom","218","A.M.C Telecom","4145","socks4","72","2","2024-05-31T13:41:19.191Z","98","7008","7115"
"186.46.166.50","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","193","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","3811","1","2024-05-31T13:41:19.397Z","91","6511","7138"
"149.20.253.66","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","74","1","2024-05-31T13:41:19.491Z","100","7129","7143"
"185.171.55.218","elite","AS44285","IR","Shahrad Network","106","N/A","4153","socks4","3605","1","2024-05-31T13:41:18.907Z","97","7019","7244"
"35.196.18.239","elite","AS15169","US","Google LLC","99","Google Cloud (us-east1)","80","socks5","4212","83","2024-05-31T13:41:18.904Z","100","7163","7165"
"43.153.108.126","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","443","socks5","72","1","2024-05-31T13:40:58.299Z","84","6033","7206"
